country,date,individuals,pop
Belarus,2/22/2022,341,9340000
Belarus,2/28/2022,453,9340000
Belarus,3/7/2022,1475,9340000
Belarus,3/14/2022,4308,9340000
Belarus,3/21/2022,9875,9340000
Belarus,3/28/2022,16274,9340000
Belarus,4/4/2022,21292,9340000
Belarus,4/11/2022,23609,9340000
Belarus,4/18/2022,24578,9340000
Belarus,4/26/2022,25852,9340000
Belarus,5/2/2022,26985,9340000
Belarus,5/18/2022,16547,9340000
Belarus,5/25/2022,16648,9340000
Belarus,5/31/2022,16650,9340000
Belarus,6/6/2022,16654,9340000
Belarus,6/13/2022,16660,9340000
Belarus,6/21/2022,16662,9340000
Belarus,6/27/2022,16668,9340000
Belarus,7/5/2022,16675,9340000
Belarus,7/12/2022,16677,9340000
Belarus,7/18/2022,16680,9340000
Belarus,7/25/2022,16682,9340000
Belarus,8/1/2022,16685,9340000
Belarus,8/8/2022,16689,9340000
Belarus,8/16/2022,16692,9340000
Belarus,8/23/2022,16701,9340000
Belarus,8/30/2022,16704,9340000
Hungary,2/22/2022,116348,9710000
Hungary,2/28/2022,191348,9710000
Hungary,3/7/2022,263888,9710000
Hungary,3/14/2022,317863,9710000
Hungary,3/21/2022,359197,9710000
Hungary,3/28/2022,394728,9710000
Hungary,4/4/2022,428954,9710000
Hungary,4/11/2022,465598,9710000
Hungary,4/18/2022,496914,9710000
Hungary,4/25/2022,539821,9710000
Hungary,5/2/2022,572760,9710000
Hungary,5/9/2022,610076,9710000
Hungary,5/16/2022,649352,9710000
Hungary,5/25/2022,698420,9710000
Hungary,5/31/2022,731098,9710000
Hungary,6/6/2022,764216,9710000
Hungary,6/14/2022,814607,9710000
Hungary,6/21/2022,860908,9710000
Hungary,6/28/2022,905104,9710000
Hungary,7/5/2022,949664,9710000
Hungary,7/12/2022,995637,9710000
Hungary,7/18/2022,1035773,9710000
Hungary,7/25/2022,1082649,9710000
Hungary,8/1/2022,1131385,9710000
Hungary,8/8/2022,1182013,9710000
Hungary,8/16/2022,1242352,9710000
Hungary,8/23/2022,1292632,9710000
Hungary,8/30/2022,1338276,9710000
Hungary,9/6/2022,1381738,9710000
Poland,2/22/2022,453982,37780000
Poland,3/1/2022,1412503,37780000
Poland,3/8/2022,1857045,37780000
Poland,3/14/2022,2113554,37780000
Poland,3/21/2022,2314623,37780000
Poland,3/28/2022,2469657,37780000
Poland,4/4/2022,2645877,37780000
Poland,4/11/2022,2800713,37780000
Poland,4/18/2022,2922978,37780000
Poland,4/25/2022,3075240,37780000
Poland,5/2/2022,3234036,37780000
Poland,5/9/2022,3376992,37780000
Poland,5/16/2022,3524205,37780000
Poland,5/25/2022,3690089,37780000
Poland,5/31/2022,3817564,37780000
Poland,6/6/2022,3954957,37780000
Poland,6/14/2022,4146144,37780000
Poland,6/21/2022,4312612,37780000
Poland,6/28/2022,4472349,37780000
Poland,7/4/2022,4608154,37780000
Poland,7/12/2022,4787154,37780000
Poland,7/18/2022,4923640,37780000
Poland,7/25/2022,5084448,37780000
Poland,8/1/2022,5247980,37780000
Poland,8/8/2022,5415305,37780000
Poland,8/16/2022,5625142,37780000
Poland,8/23/2022,5796748,37780000
Poland,8/30/2022,5951510,37780000
Poland,9/6/2022,6114787,37780000
Moldova,2/22/2022,79315,2574000
Moldova,3/3/2022,104929,2574000
Moldova,3/7/2022,337215,2574000
Moldova,3/14/2022,367913,2574000
Moldova,3/21/2022,385222,2574000
Moldova,3/28/2022,396448,2574000
Moldova,4/4/2022,413374,2574000
Moldova,4/11/2022,425227,2574000
Moldova,4/18/2022,435275,2574000
Moldova,4/25/2022,448170,2574000
Moldova,5/2/2022,457066,2574000
Moldova,5/9/2022,464294,2574000
Moldova,5/16/2022,472377,2574000
Moldova,5/25/2022,483306,2574000
Moldova,5/31/2022,491144,2574000
Moldova,6/6/2022,498896,2574000
Moldova,6/14/2022,507552,2574000
Moldova,6/21/2022,515432,2574000
Moldova,6/28/2022,523707,2574000
Moldova,7/5/2022,531869,2574000
Moldova,7/11/2022,539652,2574000
Moldova,7/18/2022,548030,2574000
Moldova,7/25/2022,555903,2574000
Moldova,8/2/2022,565543,2574000
Moldova,8/8/2022,573228,2574000
Moldova,8/16/2022,585614,2574000
Moldova,8/23/2022,591957,2574000
Moldova,8/30/2022,600582,2574000
Romania,2/22/2022,44540,19120000
Romania,3/1/2022,84671,19120000
Romania,3/7/2022,202592,19120000
Romania,3/14/2022,247639,19120000
Romania,3/21/2022,283304,19120000
Romania,3/28/2022,315451,19120000
Romania,4/4/2022,353004,19120000
Romania,4/11/2022,389920,19120000
Romania,4/18/2022,413144,19120000
Romania,4/25/2022,451070,19120000
Romania,5/2/2022,482975,19120000
Romania,5/9/2022,513613,19120000
Romania,5/16/2022,545845,19120000
Romania,5/25/2022,587219,19120000
Romania,5/31/2022,613435,19120000
Romania,6/6/2022,642159,19120000
Romania,6/14/2022,691413,19120000
Romania,6/20/2022,736083,19120000
Romania,6/27/2022,781288,19120000
Romania,7/5/2022,831957,19120000
Romania,7/11/2022,870241,19120000
Romania,7/24/2022,953086,19120000
Romania,7/26/2022,964874,19120000
Romania,8/7/2022,1044292,19120000
Romania,8/21/2022,1127998,19120000
Romania,8/28/2022,1169027,19120000
Russian Federation,2/22/2022,42900,143400000
Russian Federation,3/1/2022,99300,143400000
Russian Federation,3/7/2022,142994,143400000
Russian Federation,3/14/2022,252376,143400000
Russian Federation,3/22/2022,350632,143400000
Russian Federation,3/31/2022,373589,143400000
Russian Federation,4/4/2022,433083,143400000
Russian Federation,4/11/2022,535842,143400000
Russian Federation,4/18/2022,614318,143400000
Russian Federation,4/26/2022,703523,143400000
Russian Federation,5/3/2022,772121,143400000
Russian Federation,5/9/2022,850534,143400000
Russian Federation,5/16/2022,932220,143400000
Russian Federation,5/25/2022,1041095,143400000
Russian Federation,5/31/2022,1116387,143400000
Russian Federation,6/6/2022,1188807,143400000
Russian Federation,6/14/2022,1305018,143400000
Russian Federation,6/21/2022,1412429,143400000
Russian Federation,6/28/2022,1518394,143400000
Russian Federation,7/5/2022,1625231,143400000
Russian Federation,7/11/2022,1728407,143400000
Russian Federation,7/19/2022,1857122,143400000
Russian Federation,7/25/2022,1952037,143400000
Russian Federation,8/1/2022,2063463,143400000
Russian Federation,8/9/2022,2197679,143400000
Russian Federation,8/16/2022,2308790,143400000
Russian Federation,8/23/2022,2414075,143400000
Russian Federation,8/29/2022,2490480,143400000
Russian Federation,9/5/2022,2593209,143400000
Slovakia,2/22/2022,67000,5477000
Slovakia,2/28/2022,140745,5477000
Slovakia,3/7/2022,213000,5477000
Slovakia,3/14/2022,253592,5477000
Slovakia,3/21/2022,278238,5477000
Slovakia,3/29/2022,302417,5477000
Slovakia,4/4/2022,320246,5477000
Slovakia,4/11/2022,339680,5477000
Slovakia,4/18/2022,357560,5477000
Slovakia,4/25/2022,382024,5477000
Slovakia,5/2/2022,404463,5477000
Slovakia,5/9/2022,424027,5477000
Slovakia,5/16/2022,444368,5477000
Slovakia,5/24/2022,466264,5477000
Slovakia,5/31/2022,484661,5477000
Slovakia,6/6/2022,501335,5477000
Slovakia,6/14/2022,525620,5477000
Slovakia,6/21/2022,548210,5477000
Slovakia,6/28/2022,569702,5477000
Slovakia,7/5/2022,589147,5477000
Slovakia,7/12/2022,610201,5477000
Slovakia,7/18/2022,625553,5477000
Slovakia,7/25/2022,645819,5477000
Slovakia,8/1/2022,665796,5477000
Slovakia,8/8/2022,687368,5477000
Slovakia,8/16/2022,713588,5477000
Slovakia,8/23/2022,736387,5477000
Slovakia,8/30/2022,757851,5477000
Slovakia,9/6/2022,778335,5477000
